comentario,codigo_semestre,nombre_curso,tipo,topico,semstre_malla,seccion,codigo,semestre,Departamento
"Esto es más que nada un aspecto a mejorar del curso, dada la carga académica con los otros ramos este queda muy de lado. Creo que para las ingenierías este ramo es fundamental para marcar ciertas bases y el no poder disfrutarlo al máximo es una lata.",CD1100-5 - Otoño 2023,Desafíos de Innovación en Ingeniería y Ciencias,0,Experiencia y Organización del Curso,1,5,CD1100, Otoño 2023,Area de innovacion
"Me gustaria que como equipo docente se tomara más en consideración que este es un ramo dificil, que requiere mucho tiempo el estudiar y realizar los informes correctamente. Por lo mismo, agradeceria si para las siguientes ocasiones en las que se tome el ramo, puedieran dar más plazo para la entrega de los informes (5 días al menos) ya que la presión para entregar el informe a tiempo era muy alta y agotadora, más aun considerando que (para nuestra sección) la entrega era (antes) despues de un control de 3 horas, para el cual claramente se necesita estudiar mucho, y por lo tanto perder tiempo que se podria dedicar para el informe. Muchas veces, para entregar un buen informe, era necesario amanecerse o faltar a clases (me paso muchas veces), lo cual se sabe es muy poco recomendado y sano. Entiendo que esto no era lo que esperaba el profe, pero soy consciente de que muchos otros estudiantes estaban en mi misma situación, perdiendose materia relevante de otros cursos (en mi caso mecanica y edo), lo cual claramente no es lo esperado ni lo ideal en ningún caso.",FI2003-3 - Otoño 2023,Métodos Experimentales,0,Gestión de Actividades y Evaluaciones,3,3,FI2003, Otoño 2023,Departamento de fisica
Simpática,MA1102-1 - Otoño 2023,Álgebra Lineal,1,Otros,2,1,MA1102, Otoño 2023,Departamento de ingenieria matematica
es simpatica,BT1211-2 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,1,Calidad de la Enseñanza,1,2,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
Su explicación de las distintas materias ya que en algunos momentos se complicaba a la hora de hacerlas lo que al final terminaba con una confusión colectiva.,MA1101-3 - Otoño 2023,Introducción al Álgebra,0,Gestión de Actividades y Evaluaciones,1,3,MA1101, Otoño 2023,Departamento de ingenieria matematica
Buena disposición de ayudar y resolver dudas,FI1000-4 - Otoño 2023,Introducción a la Física Clásica,1,Atención y Disposición Docente,1,4,FI1000, Otoño 2023,Departamento de fisica
"Nada que decir, muy buen profe!",MA2001-2 - Otoño 2023,Cálculo en Varias Variables,1,Experiencia Educativa,3,2,MA2001, Otoño 2023,Departamento de ingenieria matematica
Todo perfecto.,CC1002-1 - Otoño 2023,Introducción a la Programación,0,Otros,2,1,CC1002, Otoño 2023,Departamento ciencias de la computación
las clases a veces eran muy pausadas para mí,MA2001-4 - Otoño 2023,Cálculo en Varias Variables,0,Estilo de Enseñanza y Dinámica de Clases,3,4,MA2001, Otoño 2023,Departamento de ingenieria matematica
"Fue un profesor muy bueno con una modalidad de cátedras muy eficiente y productivas. Las cátedras en lo personal me gustaban mucho ya que era el profesor muy ordenado al usar la pizarra, lo cual se agradece un montón, además de iba de la mano del apunte del curso, lo cual permitía tener una ayuda extra para poder guiarse, el profesor siempre estaba atento a que no quedara alguna duda, además de que hacerle preguntas al profesor no daba vergüenza/miedo, ya que el profesor respondía de muy buena manera sin generar algún tipo de ""intimidación"" por uno creer que hace una pregunta muy tonta. Es un profesor muy jugado por el curso, que se nota su interés y preocupación por enseñar y lograr que nosotros los estudiantes aprendamos. También se agradece mucho las instancias de conversar en catedra después de los controles, que tal nos fue y como encontramos el control, ya que esta especie de feed-back, lo encontraba muy clave para poder aprender de mejor forma y saber como mejorar/enfocar el estudio para lo controles.

El Vichin (aux) fue un excelente auxiliar, también muy jugado por el curso, donde sus auxiliares eran muy ordenados y muy explicativos en los procedimientos de resolución de los problemas, fue siempre muy responsable con los horarios, a pesar de tener un horario complicado para tener clase auxiliar, y dando instancias especiales antes de los controles/examen para poder estudiar, ya sea por zoom u otro medio, se agradece mucho igual que diera los enunciados de aux impresos, además de traer un día cojaks.

En conclusión, el equipo docente se destaco tanto profesionalmente, como también como a nivel de personas, cosa en la cual destacaron ambos, Muy agradecido con haber dado este curso con este equipazo.",MA2002-1 - Otoño 2023,Cálculo Avanzado y Aplicaciones,1,Atención y Disposición Docente,4,1,MA2002, Otoño 2023,Departamento de ingenieria matematica
El orden mientras desarrolla los diferentes temas.,MA1101-3 - Otoño 2023,Introducción al Álgebra,0,Estilo de Enseñanza y Dinámica de Clases,1,3,MA1101, Otoño 2023,Departamento de ingenieria matematica
"clases entretenidas, con los profes siempre dispuestos a ayudar, 11/10",CD1100-4 - Otoño 2023,Desafíos de Innovación en Ingeniería y Ciencias,1,Experiencia Educativa,1,4,CD1100, Otoño 2023,Area de innovacion
"Excelentes auxiliares y profesor, nada mas que decir",MA1001-9 - Otoño 2023,Introducción al Cálculo,1,Experiencia Educativa,1,9,MA1001, Otoño 2023,Departamento de ingenieria matematica
"Sobre el Profesor:

* Destaco su disposición a resolver dudas y a explicar/introducir los contenidos de una manera sencilla e interesante! Tanto en cátedra como laboratorio.

* También se destaca su comprensión al escuchar a la sección en cuanto al plazo de los informes.

* Destaco su flexibilidad y organización con el curso (flexibilidad en el sentido de que las clase previo a controles experimentales empezaban a las 9, y organización en el sentido de que se siguió al pie de la letra el calendario que nos subió).



Sobre equipo auxiliar:

* En particular destaco el rol de Constanza y Camila! Su apoyo durante los laboratorios fue muy bueno, siempre resolviendo dudas y aclarando procedimientos. También guiando como realizar ciertas actividades. Además siempre fueron muy simpáticas y dispuestas a ayudar. Lo anterior también aplica para Nicolás!",FI2003-3 - Otoño 2023,Métodos Experimentales,1,Atención y Disposición Docente,3,3,FI2003, Otoño 2023,Departamento de fisica
Genio,CC1000-11 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,1,Otros,1,11,CC1000, Otoño 2023,Departamento ciencias de la computación
"El profesor Pablo Dartnell explica muy bien, da buenos ejemplos y tiene buena disposición a aclarar dudas.",MA1101-7 - Otoño 2023,Introducción al Álgebra,1,Calidad de la Enseñanza,1,7,MA1101, Otoño 2023,Departamento de ingenieria matematica
"Dejar a lado todas las demostraciones ""interesantes"" que nadie entiende cuando no se han dado ejercicios de la materia, le falta hacer ejemplos, asistí a todas las clases y al momento de estudiar recuerdo bien que solo 3 ejemplos a lo largo del curso me ayudaron a entender, 2 en Laplace y 1 en matrices, por favor si hace ejercicios también no los haga con F(x) y x arbitrarios, después es imposible replicar o entender cómo se hacen, muchas cápsulas no me fueron útiles por esto, es mejor que ocupe números.



Balancear mejor la dificultad de las evaluaciones, el C1 demasiado difícil y después el recuperativo muy fácil, cómo este último no está planificado previamente si te toca al lado de otras pruebas no alcanzas a estudiar y te quedas bajo el promedio del curso.



El aspecto que más necesita mejorar sin duda son los contenidos de evaluaciones, C1 un tercio fue definiciones formales de límites a infinito en integración, C3 un tercio matrices y más encima con Laplace aplicado a ellas, no habíamos visto matrices y aún no veíamos sistemas, un tercio del EXAMEN fue un ejercicio de matrices de grado 2 cuando solo vimos grado 1, habían tantos procedimientos y tipos de ejercicios con grado 1 que daban para hacer un examen entero. Con TANTA materia que evaluar no entiendo por qué hacer cosas que no se han visto, o evaluar materia de otros ramos sin avisarlo.



Jamás me había matado estudiando tanto para ninguna otra evaluación que para este examen, desayunaba, estudiaba, almorzaba, estudiaba, me iba a dormir y lo repetí por una semana, estaba muchísimo más preparado que amigos que también dieron EDO en otras secciones, ni un 4 me pude sacar mientras ellos se habían eximido o tenían promedio sobre 5. Sé que mucha gente que piensa lo mismo, si se salva con un 4,1 algo así no le dejará este tipo de comentarios porque ya pasó y le da lata escribir, pero yo lo hago porque aunque ya no me pueda ayudar a mi al menos puede ayudar a los que tomen el ramo después, espero que reflexione y se de que cuenta que la P1 del C1, P3 del C3 y P2 del Examen no son razonables y eliminar una pregunta después no lo soluciona.



Puede mejorar todos estos aspectos fácilmente, haga el ramo coordinado.",MA2601-2 - Otoño 2023,Ecuaciones Diferenciales Ordinarias,0,Evaluaciones y Controles,3,2,MA2601, Otoño 2023,Departamento de ingenieria matematica
"su disponibilidad para responder dudas y preocupación por ayudarnos, siempre nos ofreció horarios de consulta antes de cada evaluación los que ayudaron mucho, ademas de su puntualidad al llagar a las clases",MA1001-1 - Otoño 2023,Introducción al Cálculo,1,Atención y Disposición Docente,1,1,MA1001, Otoño 2023,Departamento de ingenieria matematica
Se molesta un poco cuando los estudiantes preguntas cosas básicas.,CC1000-18 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,0,Atención y Disposición Docente,1,18,CC1000, Otoño 2023,Departamento ciencias de la computación
El docente no demostró los teoremas más importantes del curso.,MA2001-5 - Otoño 2023,Cálculo en Varias Variables,0,Calidad de la Enseñanza,3,5,MA2001, Otoño 2023,Departamento de ingenieria matematica
Excelente equipo docente!,CC1000-17 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,1,Experiencia Educativa,1,17,CC1000, Otoño 2023,Departamento ciencias de la computación
"es muy poco expresiva, en ocasiones se agradecería una explicación que vaya más allá de lo que dice el apunte",MA2001-4 - Otoño 2023,Cálculo en Varias Variables,0,Estilo de Enseñanza y Dinámica de Clases,3,4,MA2001, Otoño 2023,Departamento de ingenieria matematica
"Se preocupa de que los estudiantes entiendan de manera correcta además de estar comprometido en enseñar a aquellos que se les dificulta, muy grata experiencia tenerlo de profesor el primer semestre de universidad, valoro su compromiso y vocación a la hora de enseñar!!! Excelente profesor",FI1000-7 - Otoño 2023,Introducción a la Física Clásica,1,Atención y Disposición Docente,1,7,FI1000, Otoño 2023,Departamento de fisica
.,MA1002-2 - Otoño 2023,Cálculo Diferencial e Integral,1,Otros,2,2,MA1002, Otoño 2023,Departamento de ingenieria matematica
"Creo que su forma de enseñar no es la mejor, dejan mucho que desear sus cátedras, al principio del curso lograba entender cosas que se parecían a cursos anteriores de física, sin embargo, cuando se empezó a complejizar la materia que se iba impartiendo, no lograba entender nada, llegaba a las cátedras y por más que pusiera atención no le entendía nada, su forma de explicar es escribiendo en la pizarra demostraciones generales de la tópico que sea que estamos viendo en ese entonces, y no lograba enfatizar en qué nos iba a servir a la hora de resolver ejercicios, era difícil comprender qué fórmula era la principal, siento que solo habla y habla, pero no se cerciora por su cuenta si estamos aprendiendo o no, siento que podría explicar el ramo de una forma más digerible, como pensando que para muchos alumnos y alumnas es un ramo nuevo en el que no sabemos nada y no desde su visión de años de experiencia y trabajo.",FI2001-1 - Otoño 2023,Mecánica,0,Estilo de Enseñanza y Dinámica de Clases,3,1,FI2001, Otoño 2023,Departamento de fisica
"El Néstor solo le respondia dudas de buena manera a las mujeres, mas funado imposible.

Werner respondia cosas contradictorias al momento de resolver dudas que solo lograban mayor confusion",FI2003-1 - Otoño 2023,Métodos Experimentales,0,Atención y Disposición Docente,3,1,FI2003, Otoño 2023,Departamento de fisica
"Muy considerado. Las tareas son una modalidad muy útil, permiten una mejor preparación para los controles para aterrizar los conocimientos. Subir las notas de las clases también es una herramienta muy útil en caso de querer asegurarse de tener todo el contenido coherente. Buen equipo de ayudantes, sobre todo el auxiliar Sivert.",MA2601-3 - Otoño 2023,Ecuaciones Diferenciales Ordinarias,1,Otros,3,3,MA2601, Otoño 2023,Departamento de ingenieria matematica
"Debido a que sólo contábamos con una clase a la semana, las cátedras tendían a ser bastante rápidas, siendo un poco costoso ""tomarle el hilo"" a las explicaciones, o resultando fácil perderse durante la formulación de nuevos conceptos.",MA1101-4 - Otoño 2023,Introducción al Álgebra,0,Experiencia y Organización del Curso,1,4,MA1101, Otoño 2023,Departamento de ingenieria matematica
Se preocupaba por hacer un ambiente de aprendizaje dinámico,MA1001-9 - Otoño 2023,Introducción al Cálculo,1,Experiencia Educativa,1,9,MA1001, Otoño 2023,Departamento de ingenieria matematica
"me parece una falta de respeto pedir puntualidad cuando la docente llegaba  mas de la mitad de sus clases tarde, siempre hacia comentarios ofensivos de los alumnos que llegaban tarde a sus clases y sin embargo ella misma llegaba tarde",FI1100-4 - Otoño 2023,Introducción a la Física Moderna,0,Estilo de Enseñanza y Dinámica de Clases,2,4,FI1100, Otoño 2023,Departamento de fisica
Es puntual y preocupada,MA1002-3 - Otoño 2023,Cálculo Diferencial e Integral,1,Experiencia Educativa,2,3,MA1002, Otoño 2023,Departamento de ingenieria matematica
"En general el profe va lento con la materia y eso por lo menos en mi caso se aprecia bastante porque así puedo entender bien lo que se habla y no perderme, también siempre estaba dispuesto a responder las dudas hasta que la persona que pregunto resolviera su pregunta, aunque eso significará ""perder"" mucho tiempo en la cátedra. En general es un super buen profe, bastante exigente, pero super buen docente, a mi no me gustan en general los ramos físicos pero el profe logró que este curso se volviera de mis favoritos.

También a los auxiliares se les aprecia mucho la disposición que tuvieron durante el semestre, ambos explican super bien y siempre atentos a las dudas que pueden surgir.",FI2001-4 - Otoño 2023,Mecánica,1,Experiencia Educativa,3,4,FI2001, Otoño 2023,Departamento de fisica
"Es muy amable, tiene buena disposición para resolver dudas y da sugerencias para resolver los ejercicios, también explica cómo se escriben ciertas letras o símbolos como por ejemplo ""^"". Es muy bueno enseñando y hace muy creativas las clases",CC1000-6 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,1,Atención y Disposición Docente,1,6,CC1000, Otoño 2023,Departamento ciencias de la computación
"No se mostraba con muchas ganas de hacer las clases, lo que hacia que se perdieran las ganas de prestar atención o simplemente se dejara de ir. A veces las clases eran demasiado monotonas aun cuando habian muchas oportunidades de hacer la clases mas dinamica. A veces cuando se le preguntaban dudas no era muy clara en sus respuestas.",BT1211-3 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,0,Estilo de Enseñanza y Dinámica de Clases,1,3,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
Quizás enseñar programación de Arduino con un poco más de profundidad.,CD2201-6 - Otoño 2023,Módulo Interdisciplinario,0,Otros,4,6,CD2201, Otoño 2023,Area de innovacion
"Buena comunicación, buenas clases.",CD1100-12 - Otoño 2023,Desafíos de Innovación en Ingeniería y Ciencias,1,Experiencia Educativa,1,12,CD1100, Otoño 2023,Area de innovacion
Tenía entusiasmo y alegria al momento de enseñar,MA1001-9 - Otoño 2023,Introducción al Cálculo,1,Experiencia Educativa,1,9,MA1001, Otoño 2023,Departamento de ingenieria matematica
"No iba a perjudicar la nota de los demás ayudantes que hicieron un esfuerzo enorme de principio a fin y sobretodo mostraron habilidades docentes, pero no podía pasar por alto la situación con Francisca Luco, me hubiese gustado que se pronunciara aunque fuese en el foro para dar su visión de los hechos o entender mejor que salió mal, pero no se puede volver a repetir una situación como las vividas en ambos reclamos además de lo ineficiente de sus clases pasandose de los tiempos y avanzando poco y mal con la tutoría, si no hubo un motivo de transfondo creo que Francisca no tiene las habilidades necesarias para ser ayudante, sobretodo habilidades blandas",IQ2211-3 - Otoño 2023,Química,0,Experiencia y Organización del Curso,3,3,IQ2211, Otoño 2023,Departamento de ingenieria quimica
"Quizás agregar más material didáctico como el el link que nos dio de movimiento parabólico.

Pongan las cátedras de este ramo más temprano, en la tarde uno esta mas cansado, incluso los profesores.",FI1000-8 - Otoño 2023,Introducción a la Física Clásica,0,Evaluaciones y Controles,1,8,FI1000, Otoño 2023,Departamento de fisica
"Siempre se mostró muy motivado para realizar clases y eso hizo que estas fueran entretenidas.

Por otro lado, tanto en las instrucciones, como en la corrección de actividades, él junto con los\as ayudantes explicaban de manera correcta y siempre pendientes de que no quedaran dudas.

El docente en general fue muy comprometido con su trabajo, instancias en las que no pudo realizar alguna clase siempre dejaba un reemplazo y avisaba con anticipación.",BT1211-9 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,1,Experiencia Educativa,1,9,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
Podría mejorar las  clases utilizando distintas herramientas no sólo presentaciones.,BT1211-1 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,0,Gestión de Actividades y Evaluaciones,1,1,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
"Las dos muy buenas profesoras, a pesar de que no pude ir mucho a las cátedras, encontraba que explicaban muy bien e hicieron que se me hiciera entretenido estudiar química este semestre, en gran parte se debe a ambas profesoras, pero también gracias a los auxiliares, los cuales eran muy buenos y hacían ejercicios tipo control.",IQ2211-2 - Otoño 2023,Química,1,Reconocimiento a Profesores y Auxiliares,3,2,IQ2211, Otoño 2023,Departamento de ingenieria quimica
"Muy buen equipo docente, tanto profe como auxiliar y ayudantes.",IQ2212-2 - Otoño 2023,Termodinámica Química,1,Experiencia Educativa,4,2,IQ2212, Otoño 2023,Departamento de ingenieria quimica
Crack,CC1000-5 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,1,Otros,1,5,CC1000, Otoño 2023,Departamento ciencias de la computación
"Quizas utilizar terminos mas simples, para que se esxplique mejor lo que trata de enseñar( sobre todo con las fórmulas). Además faltó ejercitar más en clases.",FI1100-1 - Otoño 2023,Introducción a la Física Moderna,0,Calidad de la Enseñanza,2,1,FI1100, Otoño 2023,Departamento de fisica
"Buenos materiales como los pdf de las clases y ademas era muy empatico con nosotros, hizo una clase entretenida",CC1000-8 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,1,Calidad de la Enseñanza,1,8,CC1000, Otoño 2023,Departamento ciencias de la computación
"Quisiera dividir mi comentario en tres partes; uno al profesor Nicolás, otro al aux. Pablo Zúñiga y un último al DIM. Con respecto a Nicolás Hernández decir que fue una maravilla de profesor. Primero siempre tuvo un trato encantador con nosotros, los estudiantes. Entendía muy bien la situación en la que nos encontrábamos y siempre mantuvo un tono de respeto y solemnidad ante todos. También dictaba clases de manera muy dinámica. Demostraba el dominio y la experiencia en el tema que adquirió en su carrera. Podría decirse que sus clases son un ejemplo de por qué los robots no pueden reemplazar a los docentes. Además hacia retroalimentaciones efectivas. Comprendía la necesidad de sobreponer la educación y el aprendizaje por sobre la evaluación y la nota. Finalmente recalcar su compromiso y dedicación a cada cátedra que hacía. Incluso cuando las situaciones le fueron adversas logró darle frente y jamás falló a sus estudiantes. Realmente un gran profesor. Ojalá se anime alguna vez a repetir dicha experiencia.



Sobre Pablo Zúñiga es realmente meritorio. Me parece que corresponde dicho reconocimiento incluso si esta encuesta no contempla aquello. Desde el primer día que dictó un auxiliar dejó a velo descubierto su dominio, experiencia e inteligencia no solo en el área de las matemáticas, sino también como transmisor de dicho conocimiento. Ir a sus auxiliares era como escuchar a un profesional en ello. Apenas hablaba dejaba al descubierto su compromiso y dedicación en aquello. Puedo decir de buena fuente que sus enunciados auxiliares salvaron a más de una persona de reprobar el ramo. Es, sin duda alguna, una persona que ama lo que hace y que está muy orgulloso de ello. También siempre dedicó a abordar temas que van más allá de la asignatura y que respectan a la vida universitaria. Logró, sin duda alguna, un trato de amistad y fraternidad con toda la sección, y me parece que hicimos todo lo posible para hacerlo notar. Me atrevo a decir que, incluso con todos los años de carrera que me quedan, fue el mejor auxiliar que alguna vez tendremos. Quizás sea igualado pero jamás superado. Verdaderamente un gran auxiliar. Le deseamos lo mejor en su vida.



En relación con el DIM, ese comentario está en ""aspectos a mejorar""...",MA1101-2 - Otoño 2023,Introducción al Álgebra,1,Otros,1,2,MA1101, Otoño 2023,Departamento de ingenieria matematica
"Siempre que se le preguntaba algo respondía y además explicaba con la finalidad de que nos fuera bien en los controles de lectura, en los laboratorios y en los controles experimentales.",FI2003-1 - Otoño 2023,Métodos Experimentales,1,Evaluaciones y Controles,3,1,FI2003, Otoño 2023,Departamento de fisica
"La carga era demasiada y al deber cada semana alguna actividad o trabajo, nos consumía demasiado tiempo para poder cumplir correctamente con nuestros otros deberes.",CD1100-2 - Otoño 2023,Desafíos de Innovación en Ingeniería y Ciencias,0,Evaluaciones y Controles,1,2,CD1100, Otoño 2023,Area de innovacion
"Se retrasaba con las cátedras y para el final dejaba los tas pendientes, enseñandolos sin profundidad ni entendimiento.",MA1101-1 - Otoño 2023,Introducción al Álgebra,0,Estilo de Enseñanza y Dinámica de Clases,1,1,MA1101, Otoño 2023,Departamento de ingenieria matematica
"Coordinación: no hablando de la profe, sino de la coordinación del curso; está bien que se haya definido las tareas numéricas como método de evaluación, pero no está bien subir rubricas después de la primera entrega, lo cual causó una enormidad de polémica y conflicto entre pares con la votación de final de semestre. Si ven que cometieron un error, no busquen conflicto entre los alumnos (eso fue lo que se sintió) y tomen iniciativa como lo hicieron con la decisión final.",MA2001-4 - Otoño 2023,Cálculo en Varias Variables,0,Reconocimiento a Profesores y Auxiliares,3,4,MA2001, Otoño 2023,Departamento de ingenieria matematica
"En las actividades de biologia, se le hacian preguntas y se notaba mucho que no sabia del tema ni la respuesta, osea, no tiene el conocimiento de la materia que dicta.",BT1211-6 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,0,Estilo de Enseñanza y Dinámica de Clases,1,6,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
